[Wed Mar 06 19:37:00.081336 2024] [php:notice] [pid 23] [client 172.21.0.1:46660] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:37:00.127692 2024] [php:notice] [pid 17] [client 172.21.0.1:55946] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:37:01.406394 2024] [php:notice] [pid 17] [client 172.21.0.1:55946] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:37:01.417701 2024] [php:notice] [pid 17] [client 172.21.0.1:55946] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:37:02.644729 2024] [php:notice] [pid 17] [client 172.21.0.1:55946] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:37:06.098910 2024] [php:notice] [pid 17] [client 172.21.0.1:55946] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:37:06.146848 2024] [php:notice] [pid 20] [client 172.21.0.1:55948] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:37:07.085997 2024] [php:notice] [pid 20] [client 172.21.0.1:55948] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:37:07.098411 2024] [php:notice] [pid 20] [client 172.21.0.1:55948] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:37:11.176642 2024] [php:notice] [pid 20] [client 172.21.0.1:55948] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:37:33.201917 2024] [php:notice] [pid 24] [client 172.21.0.1:41174] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:37:35.730597 2024] [php:notice] [pid 24] [client 172.21.0.1:41174] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:37:35.769696 2024] [php:notice] [pid 21] [client 172.21.0.1:41176] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:37:36.607040 2024] [php:notice] [pid 21] [client 172.21.0.1:41176] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:37:36.618375 2024] [php:notice] [pid 21] [client 172.21.0.1:41176] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:37:38.313368 2024] [php:notice] [pid 21] [client 172.21.0.1:41176] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:37:50.657438 2024] [php:notice] [pid 19] [client 172.21.0.1:59750] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:37:53.233520 2024] [php:notice] [pid 19] [client 172.21.0.1:59750] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:37:53.302510 2024] [php:notice] [pid 18] [client 172.21.0.1:59754] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:37:54.309972 2024] [php:notice] [pid 18] [client 172.21.0.1:59754] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:37:54.322409 2024] [php:notice] [pid 18] [client 172.21.0.1:59754] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:37:54.396705 2024] [php:notice] [pid 18] [client 172.21.0.1:59754] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:52:56.490248 2024] [php:notice] [pid 22] [client 172.21.0.1:59334] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:52:56.490498 2024] [php:notice] [pid 23] [client 172.21.0.1:59342] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:52:59.843069 2024] [php:notice] [pid 22] [client 172.21.0.1:59334] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:52:59.884253 2024] [php:notice] [pid 23] [client 172.21.0.1:59342] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:52:59.888160 2024] [php:notice] [pid 17] [client 172.21.0.1:56348] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:53:01.069952 2024] [php:notice] [pid 17] [client 172.21.0.1:56348] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:53:01.081371 2024] [php:notice] [pid 17] [client 172.21.0.1:56348] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:53:01.135474 2024] [php:notice] [pid 23] [client 172.21.0.1:59342] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:53:01.135492 2024] [php:notice] [pid 17] [client 172.21.0.1:56348] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:53:08.460504 2024] [php:notice] [pid 20] [client 172.21.0.1:56364] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:53:08.461228 2024] [php:notice] [pid 24] [client 172.21.0.1:56376] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:53:08.471904 2024] [php:notice] [pid 21] [client 172.21.0.1:56388] Sou um log, referer: http://127.0.0.1:5501/
